U+2DA80 𭪀 ⿻𰀆米
U+2DAD8 𭫘 ⿻⿳一丛从木
U+2DEBE 𭺾 ⿻⿱日龷丨
U+2E34C 𮍌 ⿰丨⿳𠃍𠃍{コ}
U+2E665 𮙥 ⿷豸{𰀠右}
U+2E815 𮠕 ⿱一⿵⿻ㄇ{丨丨}三
U+2E81A 𮠚 ⿱𠂉⿵⿻⿱一ㄇ{丨丨}三
U+2E9FB 𮧻 ⿰{音亠换二}{%犮上1}⿺乚三{%犮上2}[JK] ⿰音{%犮上1}⿺乚三{%犮上2}[G]
U+2F881 巡 ⿺巛{辶G}[T]
U+2F9D2 豕 ⿸㇇⿰{豸下}{𰀠右}
U+30001 𰀁 ⿻二丨
U+30002 𰀂 ⿻匚一
U+30004 𰀄 ⿷匚一
U+30009 𰀉 ⿻一中
U+3002A 𰀪 ⿱丿丿
U+3005C 𰁜 ⿱亠{丿𝍪丶}
U+300E6 𰃦 ⿱丿冂
U+3018A 𰆊 ⿹𠃌丨
U+30A75 𰩵 ⿱⺮用[TH] ⿱⺮{甬下}[GV] ⿱⿰{⺮半}𫡏{甬下}[JK]
U+30EA6 𰺦 ⿰⿱二𦍍⿱㇇𰀠[THJK] ⿰{辣左}{𠬝下换𰀠}[G]
U+31A35 𱨵 ⿰氵⿱𰅛⿸广⿱二口
U+31A37 𱨷 ⿰氵⿵⿰⿸{段左去三}{コ}⿹𠃌匚生
U+31A45 𱩅 ⿰氵⿳土⿶口丄⿰口𬺰
U+31B34 𱬴 ⿱丿灬
U+31B35 𱬵 ⿳丿{糹下}⿸{氏去𫠠}㇂
U+31BA8 𱮨 ⿰犭⿳山⿰亻⿱{ユ}龶乂
U+31F00 𱼀 ⿵𠂊⺀
U+32076 𲁶 ⿰訁⿳一⿶口丄吋
U+320A1 𲂡 ⿰豕⿳五⿻丨{ユ}口
U+321A1 𲆡 ⿲⿳⿱口丅𠃑一⿱廿𠬞⿳口{コ中丨}乚 ⿲⿳口{%匚1}丨{%匚2}{反乚}⿱廿𠬞⿳口{コ中丨}乚[G]
U+324DF 𲓟 ⿻一{%丿乚1}{𝍫}{%丿乚2} ⿻⿻一𫶧{丨丨}
U+329F1 𲧱 ⿱口止
U+32F37 𲼷 ⿱艹{%囗1}⿱丛从{%囗2}
